Incident ID,Month,Year,State,City Or County,Address,# Killed,# Injured,Operations
1937262,2,2021,Colorado,Lafayette,400 block of W Oak St,1,0,N/A
1937559,2,2021,Missouri,Fayette,106 College St,1,0,N/A
1936034,2,2021,Georgia,Calhoun,136 W Belmont Dr,1,0,N/A
1935061,2,2021,Louisiana,Baton Rouge,12529 Coursey Blvd,1,0,N/A
1931897,2,2021,Tennessee,Clarksville,3400 block of Pembroke Rd,1,0,N/A
1931260,2,2021,Missouri,Kansas City,1900 block of W Pennway Ter,2,1,N/A
1931297,2,2021,Illinois,Chicago,829 W 31st St,1,0,N/A
1931422,2,2021,California,Los Angeles,13100 block of San Pedro St,1,0,N/A
1930390,2,2021,North Carolina,Cornelius,19301 Meridian St,1,1,N/A
1929314,2,2021,Maryland,Baltimore,4400 block of Moravia Ave,1,0,N/A
1950259,2,2021,Michigan,Lansing,3435 W St Joseph St,1,0,N/A
1928908,2,2021,Pennsylvania,Harrisburg (Swatara),2900 block of Sycamore St,1,0,N/A
1929156,2,2021,Georgia,Macon,204 Chambers Cove Dr,1,0,N/A
1928984,2,2021,Arizona,Phoenix,7611 W Thomas Rd,1,2,N/A
1928673,2,2021,Florida,Miami,8701 SW 137th Ave,1,1,N/A
1928896,2,2021,Alabama,Tuskegee,508 Pleasant Springs Dr,1,0,N/A
1926842,2,2021,Georgia,Columbus,1270 Carmel Dr,1,0,N/A
1927921,2,2021,Kentucky,Latonia (Taylor Mill),Knollwood Dr,1,0,N/A
1925681,2,2021,Tennessee,Nashville,800 block of Claiborne St,1,0,N/A
1924171,2,2021,Idaho,Idaho Falls,Tendoy Dr and Syringa Dr,1,0,N/A
1926689,2,2021,Tennessee,Memphis,S Danny Thomas Blvd and Mississippi Blvd,1,1,N/A
1923411,2,2021,Michigan,Pontiac,300 block of N Perry St,1,0,N/A
1923715,2,2021,North Carolina,Elon,Altamahaw Church St,1,0,N/A
1923224,2,2021,North Carolina,Hollister,Bobolink Trl,1,0,N/A
1920755,2,2021,Pennsylvania,Kingston (Edwardsville),Tobin Ln and Francis St,1,0,N/A
1920639,2,2021,Louisiana,Shreveport,700 block of Bernice Cir,1,0,N/A
1919003,2,2021,Michigan,Metamora,3660 S Lapeer Rd,1,0,N/A
1918965,2,2021,Georgia,Concord,44 4th St,1,0,N/A
1921789,2,2021,Florida,Opa Locka,NW 132nd St and NW 28th Ave,1,0,N/A
1918452,2,2021,West Virginia,Lester,Burma Ln,1,0,N/A
1917342,1,2021,North Carolina,Greensboro,1000 block of Fir Place,1,0,N/A
1915359,1,2021,Mississippi,Ellisville,400 block of New Hope Road,1,0,N/A
1915391,1,2021,Georgia,Macon,2336 Ballard Dr,1,0,N/A
1914174,1,2021,Tennessee,Knoxville,Shelbourne Rd and Washington Pike,1,0,N/A
1913552,1,2021,Tennessee,Memphis,136 E McKellar Ave,1,0,N/A
1913701,1,2021,Ohio,Cincinnati,200 block of N Cooper Ave,1,0,N/A
1912954,1,2021,Texas,Houston,2219 Laurel Creek Dr,1,0,N/A
1911305,1,2021,California,Davis,44643 CR 29,1,0,N/A
1911944,1,2021,North Carolina,Engelhard,N/A,1,0,N/A
1914127,1,2021,Texas,Blum,1300 block of TX-174,1,0,N/A
1908867,1,2021,Michigan,Owosso,1400 block of Cleveland St,1,0,N/A
1908181,1,2021,Kentucky,Louisville,600 block of S 41st St,1,0,N/A
1908542,1,2021,California,Oakland,107th Ave and Apricot St,1,3,N/A
1906654,1,2021,Michigan,Detroit,2400 block of Sturtevant St,1,0,N/A
1907472,1,2021,Pennsylvania,Lock Haven,Youngs Ave,1,0,N/A
1907357,1,2021,Pennsylvania,Philadelphia,2300 block of N Bouvier St,1,0,N/A
1906675,1,2021,Florida,Jacksonville,Wedgefield Blvd,1,0,N/A
1906265,1,2021,Nevada,Las Vegas,4600 block of E Charleston Blvd,1,0,N/A
1905851,1,2021,Texas,Houston,4840 Jarmese St,1,0,N/A
1905448,1,2021,Louisiana,New Orleans,3000 block of Bienville St,2,1,N/A
1907273,1,2021,Illinois,Chicago,1200 block of S Kedvale Ave,1,0,N/A
1905648,1,2021,Arkansas,Dardanelle,N/A,1,0,N/A
1903678,1,2021,Louisiana,Saint Rose,300 block of Mockingbird Lane,1,0,N/A
1907866,1,2021,Texas,Tyler,1300 block of E Front St,1,0,N/A
1903561,1,2021,Minnesota,Willmar,1000 block of 4th St SW,1,0,N/A
1900966,1,2021,South Carolina,Greer,1029 S Buncombe Rd,2,1,N/A
1901670,1,2021,California,Santa Paula,600 block of N 12th St,1,0,N/A
1899185,1,2021,Indiana,Columbus,9200 E State Rd 58,1,0,N/A
1900089,1,2021,Texas,Dayton,2800 block of FM 1960,1,0,N/A
1897844,1,2021,Florida,Anthony,1676 NE 97th St Rd,1,0,N/A
1896249,1,2021,Mississippi,Pascagoula,3300 block of Argentina St,1,0,N/A
1896224,1,2021,Pennsylvania,Pittsburgh,1300 block of Franklin Ave,1,0,N/A
1895241,1,2021,Tennessee,Memphis,2240 Howell Ave,1,0,N/A
1896655,1,2021,Oklahoma,Idabel,100 NW Jamaica Ave,1,0,N/A
1894934,1,2021,Missouri,Sedalia,125 E Boonville St,1,0,N/A
1896235,1,2021,Pennsylvania,Norristown,1400 block of Markley St,1,0,N/A
1893327,1,2021,Texas,Houston,2900 Travis St,1,4,N/A
1892646,1,2021,South Carolina,Myrtle Beach,9547 US-17 BUS,1,2,N/A
1892901,1,2021,Oregon,Portland,13424 NE Sandy Blvd,1,0,N/A
1894799,1,2021,Idaho,Kuna,28000 block of S Pleasant Valley Rd,1,0,N/A
1891520,1,2021,Illinois,Chicago,8700 block of S Buffalo Ave,1,1,N/A
1892128,1,2021,Texas,Arlington,1600 block of Connally Terr,1,0,N/A
1892088,1,2021,Texas,Arlington,700 block of Washington Dr,1,0,N/A
1892390,12,2020,Texas,San Antonio,7700 block of Oakdell Dr,1,0,N/A
1888338,12,2020,Nevada,Whitney,Stephanie St and E Hacienda Ave,1,0,N/A
1889239,12,2020,Minnesota,Cloquet,3609 Giiniw Rd,1,0,N/A
1888046,12,2020,Maryland,Churchville,2800 block of Churchville Rd,1,0,N/A
1887263,12,2020,Texas,San Antonio,6000 block of Jackies Farm,1,0,N/A
1886751,12,2020,Texas,Denton,1100 block of Ave B,1,0,N/A
1886652,12,2020,Maryland,Indian Head,Mattingly Ave,1,0,N/A
1886385,12,2020,Florida,Lehigh Acres,5300 block of Butte St,1,0,N/A
1886077,12,2020,South Carolina,Florence,4000 block of W Palmetto St,1,0,N/A
1898385,12,2020,Ohio,Brookpark (Brook Park),Paulding Blvd,1,0,N/A
1885378,12,2020,Minnesota,Saint Paul,850 Rice St,1,0,N/A
1884589,12,2020,Texas,San Antonio,200 block of Remolino St,1,1,N/A
1883991,12,2020,Texas,Houston,131 Wellington St,1,0,N/A
1884951,12,2020,Texas,Lubbock,500 block of N Flint Ave,1,0,N/A
1884497,12,2020,Louisiana,Alexandria,3900 block of Clinton St,1,0,N/A
1883735,12,2020,Minnesota,Saint Paul,300 block of Larpenteur Ave W,1,0,N/A
1883818,12,2020,Georgia,Atlanta,3440 Peachtree Rd,1,0,N/A
1883624,12,2020,Florida,Fort Walton Beach,8 Memorial Pkwy SW,1,0,N/A
1885277,12,2020,Alabama,Friendship,N/A,1,0,N/A
1881623,12,2020,Arkansas,Little Rock,5200 block of Peach Leaf Cove,1,0,N/A
1888011,12,2020,Texas,Rowlett,N/A,1,0,N/A
1880857,12,2020,Missouri,Springfield,2300 block of N Pierce Ave,1,0,N/A
1879819,12,2020,Ohio,Hamilton,208 Cereal Ave,1,0,N/A
1879827,12,2020,Nevada,Las Vegas,1300 block of S Arlington St,1,0,N/A
1878745,12,2020,Indiana,Fairmount,1500 block of N Main St,1,0,N/A
1879707,12,2020,Idaho,Castleford,N/A,1,0,N/A
1878951,12,2020,Maryland,Edgewood,1400 block of Hanson Rd,1,0,N/A
1878564,12,2020,Michigan,Canton,41000 block of Old Michigan Ave,1,0,N/A
1880345,12,2020,California,Fontana,Mango Ave and Foothill Blvd,1,0,N/A
1927638,12,2020,Georgia,Atlanta (Sandy Springs),5500 Block of Roswell Rd,1,0,N/A
1877224,12,2020,Florida,Cocoa,1671 Owosso St,1,0,N/A
1879816,12,2020,Virginia,Wytheville,492 Griffith Knob,1,0,N/A
1876776,12,2020,Kentucky,Louisville,6900 block of Brooklawn Dr,1,0,N/A
1877605,12,2020,California,Tollhouse,28000 block of Burrough Valley Rd,1,0,N/A
1874575,12,2020,Arkansas,Little Rock,33 Falcon Ct,1,0,N/A
1873125,12,2020,New Jersey,Sussex (Wantage),Havens Rd,1,0,N/A
1873062,12,2020,Virginia,Chesterfield,21000 block of Orange Hill Ave,1,0,N/A
1871781,12,2020,Arizona,Mesa,N Sossaman Rd and E McDowell Rd,1,0,N/A
1871120,12,2020,Florida,West Palm Beach,2513 Beach Ct,1,0,N/A
1871765,12,2020,Virginia,Petersburg,21000 block of Orange Hill Ave,1,0,N/A
1887873,12,2020,Mississippi,Yazoo City,Strickland Rd,1,0,N/A
1873782,12,2020,Indiana,Jeffersonville,Seminole Dr,1,0,N/A
1870260,12,2020,Pennsylvania,Mc Kees Rocks (Mckees Rocks),1107 Island Ave,1,1,N/A
1869917,12,2020,California,Bell Gardens,6600 block of Foster Bridge Blvd,1,0,N/A
1870009,12,2020,California,Long Beach,Magnolia Ave and Anaheim St,1,1,N/A
1869968,12,2020,Alabama,Jackson,2455 College Ave,1,0,N/A
1869439,12,2020,Georgia,Lithonia,1800 block of Madras Ct,1,0,N/A
1873773,12,2020,Mississippi,Waynesboro,N/A,1,0,N/A
1873821,12,2020,Ohio,Delaware,2000 block of Pollock Rd,1,0,N/A
1868677,12,2020,North Carolina,Wilmington,708 Varsity Dr,1,0,N/A
1868782,12,2020,Texas,Houston,15100 block of Richmond Ave,1,0,N/A
1868020,12,2020,Ohio,Reynoldsburg,7325 Brooke Blvd,1,0,N/A
1867011,12,2020,Pennsylvania,Cambridge Springs,24800 Mackey Hill Rd,1,0,N/A
1866539,11,2020,Missouri,Saint Louis (Olivette),I-170 and Olive Blvd,1,0,N/A
1897353,11,2020,Nevada,Las Vegas,6253 Mythic Atlantis Ave,1,0,N/A
1864562,11,2020,Oklahoma,Oklahoma City,1101 NW 10th St,1,0,N/A
1866176,11,2020,Montana,Corvallis,Hamilton Heights Rd,1,0,N/A
1867234,11,2020,Wisconsin,Sheboygan,4500 block of S 18th St,1,0,N/A
1864491,11,2020,Maryland,Oxon Hill,531 Wilson Bridge Dr,1,0,N/A
1866891,11,2020,Texas,Lufkin,N/A,1,0,N/A
1864068,11,2020,Michigan,Ypsilanti,2960 International Dr,2,0,N/A
1861606,11,2020,Tennessee,Powell,7801 Camberley Dr,1,0,N/A
1867458,11,2020,Georgia,Washington,100 block of Riverside Dr,1,0,N/A
1866327,11,2020,Minnesota,Puposky,29000 block of Irvine Ave,1,0,N/A
1861379,11,2020,Texas,Forney,2100 block of Juniper Dr,1,1,N/A
1860299,11,2020,Arizona,Phoenix,83rd Ave and W Indian School Rd,1,0,N/A
1861270,11,2020,Arkansas,Hartford,Cedar Creek Rd,1,1,N/A
1862872,11,2020,Wyoming,Riverton,Tundra Dr,1,0,N/A
1860127,11,2020,Wisconsin,Washington Island,N/A,1,0,N/A
1857634,11,2020,Mississippi,Gulfport,Henderson Ave and 3rd St,1,0,N/A
1857658,11,2020,Florida,Daytona Beach,816 Dr Mary McLeod Bethune Blvd,1,0,N/A
1857576,11,2020,Indiana,Indianapolis,10 S West St,1,0,N/A
1901799,11,2020,Pennsylvania,Norristown,502 W Lafayette St,1,0,N/A
1997672,11,2020,Michigan,Barry (county),N/A,1,0,N/A
1860314,11,2020,Mississippi,El Dorado,E Barnes St,1,0,N/A
1857382,11,2020,New York,Rochester,36 Clairmount St,1,0,N/A
1855978,11,2020,Texas,Texarkana,600 block of Warren Thomas Rd,1,0,N/A
1855833,11,2020,Nevada,Elko,N/A,1,0,N/A
1854625,11,2020,Oklahoma,Luther,18900 block of NE 178th St,1,0,N/A
1853472,11,2020,New York,Staten Island,225 Park Hill Ave,1,0,N/A
1852533,11,2020,Florida,Saint Petersburg,16th St S,1,1,N/A
1851904,11,2020,South Carolina,North Charleston,2155 Morris Baker Blvd,1,0,N/A
1854447,11,2020,Michigan,Manton,N 27 Rd,1,0,N/A
