Incident ID,Month,Year,State,City Or County,Address,# Killed,# Injured,Operations
1996259,5,2021,Georgia,Ellabell,N/A,0,1,N/A
1993249,5,2021,New Mexico,Albuquerque,Mandy Rd and Seaborn Dr,0,1,N/A
1993579,5,2021,North Carolina,Statesville,Old Wilkesboro Rd,0,1,N/A
1994127,5,2021,Georgia,Atlanta (Sandy Springs),N/A,0,1,N/A
1993826,5,2021,West Virginia,Clarksburg,106 Wilsonburg Rd,0,1,N/A
1994319,5,2021,New Jersey,Trenton,Perry St and N Montgomery St,0,1,N/A
1991902,5,2021,Michigan,Detroit,W Chicago and W Parkway St,0,1,N/A
1992733,5,2021,Georgia,Savannah,Tatem St,0,1,N/A
1991887,5,2021,Alabama,Dothan,200 block of Hill St,0,1,N/A
1991962,4,2021,Wisconsin,Janesville,200 block of Linn St,0,1,N/A
1995286,4,2021,Oklahoma,Perry,N/A,0,1,N/A
1991678,4,2021,New Jersey,Burlington,400 block of Saint Mary St,1,1,N/A
1991320,4,2021,Texas,Elsa,300 block of E 3rd St,0,1,N/A
1991229,4,2021,New York,Brooklyn,178 Broadway,0,2,N/A
1991978,4,2021,Georgia,Conyers,1200 Rockmont Cir SW,0,1,N/A
1990976,4,2021,Illinois,Chicago,3500 block of S Francisco Ave,0,2,N/A
1991261,4,2021,New York,Yonkers,Ash St and Oak St,0,1,N/A
1991625,4,2021,Mississippi,Jackson,621 Houston Ave,0,1,N/A
1989590,4,2021,Texas,Fort Worth,3500 block of Altamesa Blvd,0,1,N/A
1990922,4,2021,North Carolina,Shelby,400 block of Gardner St,0,1,N/A
1990899,4,2021,North Carolina,Asheboro,Ashewood Cir,0,1,N/A
1990595,4,2021,Virginia,Hampton,100 block of Hamlet Ln,0,1,N/A
1988240,4,2021,Indiana,Elkhart,1300 block of Wildflower St,0,1,N/A
1988688,4,2021,Virginia,Richmond,4000 Midlothian Turnpike,2,3,N/A
1989552,4,2021,Pennsylvania,Easton,600 block of Canal Park,2,1,N/A
1987340,4,2021,California,Fresno,Illinois Ave and Effie St,0,2,N/A
1988540,4,2021,Texas,Houston,990 Cypress Station Dr,1,1,N/A
1989391,4,2021,Texas,Houston,7302 Tierwester St,0,1,N/A
1989193,4,2021,Colorado,Longmont,Martin St and Second Ave,0,1,N/A
1987517,4,2021,North Carolina,Mooresboro,N/A,0,1,N/A
1986462,4,2021,South Carolina,Florence,Springvalley Dr,0,1,N/A
1987251,4,2021,California,Bakersfield,2000 block of White Lane,0,1,N/A
1989619,4,2021,Texas,Cameron,1500 block of W 10th St,0,2,N/A
1987054,4,2021,New York,Brooklyn,Center Mall and Clinton St,1,1,N/A
1987006,4,2021,Florida,Fort Myers,3513 Fowler St,1,1,N/A
1986822,4,2021,Ohio,Toledo,2200 block of Auburn Ave,0,1,N/A
1985981,4,2021,Iowa,Des Moines,5600 block of Northwest Dr,0,1,N/A
1986521,4,2021,California,Fresno,Martin Luther King Blvd and Sampson Ave,0,2,N/A
1986304,4,2021,New York,Brooklyn,160 Van Brunt St,0,1,N/A
1986910,4,2021,North Dakota,Grand Forks,2400 block of S 34th St,0,1,N/A
1987767,4,2021,Missouri,Saint Louis,9900 block of Glen Owen Dr,0,1,N/A
1985825,4,2021,Illinois,Champaign,600 block of S Crescent Dr,0,1,N/A
1985736,4,2021,California,Bakersfield,100 block of P St,0,1,N/A
1985228,4,2021,Michigan,Detroit,10300 Mack Ave,0,3,N/A
1984740,4,2021,Georgia,Atlanta,1161 Ponce De Leon Ave NE,0,1,N/A
1985482,4,2021,Illinois,Chicago,800 S Cicero Ave,0,1,N/A
1984983,4,2021,Illinois,Chicago,10207 S Washtenaw Ave,0,1,N/A
1985428,4,2021,Alabama,Hazel Green,345 Stephens Rd,0,1,N/A
1984396,4,2021,Florida,Homestead (Leisure City),SW 297th Terrace and SW 154th Ct,0,1,N/A
1985090,4,2021,Tennessee,Memphis,N/A,0,1,N/A
1984305,4,2021,California,North Fork,Golden Acorn Court,0,1,N/A
1984756,4,2021,Georgia,Atlanta (Sandy Springs),7600 Roswell Rd,0,1,N/A
1985113,4,2021,Illinois,Kankakee,1700 E Court St,0,1,N/A
1983669,4,2021,Florida,Orlando,800 block of N. Hastings St,0,1,N/A
1983718,4,2021,Michigan,Detroit,12000 block of Prairie St,0,1,N/A
1984583,4,2021,California,Bakersfield,5000 block of Marsha St,0,1,N/A
1991142,4,2021,Michigan,Allen Park,7200 block of Shenandoah Ave,0,1,N/A
1983271,4,2021,Florida,Coral Springs,Coral Springs Dr and Westview Dr,0,1,N/A
1984099,4,2021,Arizona,Phoenix,19th Ave and Peoria Ave,1,1,N/A
1982815,4,2021,West Virginia,Southside,N/A,0,1,N/A
1982688,4,2021,Michigan,Detroit,20400 block of Hanna St,1,1,N/A
1982587,4,2021,Colorado,Denver,7475 E Iliff Ave,0,1,N/A
1981805,4,2021,Texas,Houston,700 E Whitney St,2,4,N/A
1982624,4,2021,California,Antioch,L St,0,1,N/A
1981709,4,2021,Tennessee,Memphis,N/A,0,2,N/A
1982312,4,2021,New Jersey,Jersey City,Martin Luther King Dr and Oak St,0,1,N/A
1981197,4,2021,Minnesota,Circle Pines,3621 88th Ave NE,0,1,N/A
1981462,4,2021,Tennessee,Chattanooga,4000 block of Chandler Ave,0,2,N/A
1981020,4,2021,Pennsylvania,Philadelphia,2900 block of Amber St,0,2,N/A
1980689,4,2021,Wisconsin,Kenosha,1548 Sheridan Rd,3,3,N/A
1981986,4,2021,Alabama,Montgomery,500 block of N Eastern Blvd,0,1,N/A
1980368,4,2021,Kentucky,Louisville,500 block of N 31st St,0,1,N/A
1981008,4,2021,South Carolina,Union,Sardis Rd and Hickory Nut Hollow Rd,0,1,N/A
1980090,4,2021,Louisiana,New Orleans,800 block of Canal St,0,1,N/A
1980917,4,2021,Maryland,Baltimore,2200 block of Wilkens Ave,0,1,N/A
1979991,4,2021,Indiana,South Bend,2075 E Ireland Rd,0,1,N/A
1981308,4,2021,Pennsylvania,Washington,105 Henderson Ave,0,2,N/A
1985249,4,2021,Michigan,Port Huron,1900 block of 21st St,0,1,N/A
1981063,4,2021,Illinois,Decatur,700 block of S Jasper St,0,1,N/A
1979363,4,2021,Texas,Houston,Greebriar Park and Richview Dr,0,1,N/A
1980048,4,2021,Nebraska,Omaha,Ohern St and S 48th St,0,1,N/A
1979170,4,2021,Georgia,Augusta,2053 Old Savannah Rd,0,1,N/A
1980067,4,2021,Nebraska,Lincoln,5617 S 31st St,0,1,N/A
1978579,4,2021,Alabama,Fairfield,5119 Myron Massey Blvd,0,1,N/A
1978454,4,2021,Illinois,Chicago,2645 S State St,0,1,N/A
1978042,4,2021,Ohio,Middleport,Leading Creek Rd,0,1,N/A
1982769,4,2021,North Carolina,Jacksonville,K St and Julian C Smith St,0,1,N/A
1980583,4,2021,Wisconsin,Beloit,2400 block of Dewey Ave,0,1,N/A
1977727,4,2021,Illinois,Chicago,1738 W 71st St,0,1,N/A
1978162,4,2021,Wisconsin,Milwaukee,Holton St and Center St,0,2,N/A
1980523,4,2021,Virginia,Ferrum,Union Church Rd,0,1,N/A
1977543,4,2021,Virginia,Richmond,Powell Rd,0,1,N/A
1978566,4,2021,Kentucky,Grayson,400 block of E 4th St,0,1,N/A
1976446,4,2021,Connecticut,Branford,241 Main St,1,1,N/A
1975702,4,2021,Tennessee,Knoxville,2800 Martin Luther King Jr Ave,1,1,N/A
1975927,4,2021,Tennessee,Nashville,25th Ave N and Dowlan St,1,3,N/A
1975688,4,2021,New Jersey,Newark,14th Ave and S 6th St,0,1,N/A
1975411,4,2021,New York,New York (Manhattan),309 E 78th St,0,1,N/A
